# File: A63.rsrc_curves.csv
# Title: Carbon storage resource supply curve points
# Comments: From Beerling et al (2021) source data.  https://doi.org/10.1038/s41586-020-2448-9 Median 2 C scenario. Regions not included in the Beerling study were scaled from those that were using total removal potential data from Streffler et al 2018
# Units: available: MtC cost: $1975/kg
# Column types: ccccnn
# ----------
resource,subresource,grade,region,available,cost
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Russia,28.19212107,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Russia,28.99870079,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Russia,29.33622812,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,South Africa,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,South Africa,0.003983829,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,South Africa,0.193595359,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,South Africa,0.372032508,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,South Africa,0.399196176,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,South Africa,0.410617223,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,South Africa,0.415396559,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,South America_Northern,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,South America_Northern,0.087221037,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,South America_Northern,4.238531793,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,South America_Northern,8.145193282,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,South America_Northern,8.739908318,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,South America_Northern,8.989958067,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,South America_Northern,9.09459574,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,South America_Southern,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,South America_Southern,0.268826141,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,South America_Southern,13.0636849,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,South America_Southern,25.10450404,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,South America_Southern,26.93749013,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,South America_Southern,27.70817472,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,South America_Southern,28.03068111,0.389528757
